"","Squad","MP","W","D","L","GF","GA","GD","Pts","Pts.MP","xG","xGA","xGD","xGD.90","Notes"
"372","Valencia",0.491654768682357,-0.396409103264414,0.66389888135744,0.452620620195398,-0.184980834517972,-0.101867566305222,-0.0718272540739278,-0.290330117360347,-0.459941854196481,-1.0014145481527,0,0,0,"Regular"
"373","Espanyol",0.491654768682357,-0.229781694421496,-0.643600444289052,0.99206893061118,-0.525754206194079,1.77076830058047,-1.31922584196559,-0.347514497287501,-0.525457439345103,-1.0014145481527,0,0,0,"Regular"
"374","Eibar",0.491654768682357,-0.396409103264414,0.337024049945817,0.632436723667325,-0.0145941486799188,0.834450367137626,-0.461639312790073,-0.347514497287501,-0.525457439345103,-1.0014145481527,0,0,0,"Regular"
"375","La Coruña",0.491654768682357,-0.896291329793166,2.9520227012388,-0.266643793692312,-0.24177639646399,0.834450367137626,-0.617564136276531,-0.404698877214655,-0.56913449611085,-1.0014145481527,0,0,0,"Regular"
"376","Granada",0.491654768682357,-0.563036512107331,0.010149218534194,0.99206893061118,-0.184980834517972,1.41064601848707,-0.890432577377833,-0.576252016996117,-0.743842723173842,-1.0014145481527,0,0,0,"Regular"
"377","Sporting Gijón",0.491654768682357,-0.563036512107331,0.010149218534194,0.99206893061118,-0.525754206194079,0.906474823556307,-0.851451371506218,-0.576252016996117,-0.743842723173842,-1.0014145481527,0,0,0,"Regular"
"378","Rayo Vallecano",0.491654768682357,-0.729663920950248,0.66389888135744,0.812252827139253,0.155792537158135,1.69874384416179,-0.812470165634604,-0.633436396923271,-0.809358308322464,-1.0014145481527,0,0,0,"Relegated"
"379","Getafe",0.491654768682357,-0.729663920950248,0.010149218534194,1.17188503408311,-0.696140892032132,1.26659710564971,-1.16330101847913,-0.747805156777579,-0.918550950236833,-1.0014145481527,0,0,0,"Relegated"
"382","Real Madrid",0.491654768682357,2.76951166475102,-2.27797460134717,-1.34554041452388,3.90429962559531,-0.822112130492028,3.12463162739846,2.45452011914304,2.29171272204563,-1.0014145481527,0,0,0,"UCL"
"383","Atlético Madrid",0.491654768682357,1.60311980285059,0.010149218534194,-1.34554041452388,1.0077259663484,-1.47033223826015,1.48742098079065,1.65393880016289,1.4836871718793,-1.0014145481527,0,0,0,"UCL"
"384","Valencia",0.491654768682357,1.43649239400768,0.66389888135744,-1.5253565179958,1.17811265218645,-1.25425886900411,1.48742098079065,1.59675442023573,1.44001011511355,-1.0014145481527,0,0,0,"UCL"
"385","Sevilla",0.491654768682357,1.60311980285059,-0.643600444289052,-0.985908207580022,1.23490821413247,-0.317940935561264,1.01964651033128,1.53957004030858,1.37449452996493,-1.0014145481527,0,0,0,"Regular"
"386","Villarreal",0.491654768682357,0.436727940950173,0.990773712769063,-0.626276000636167,-0.0713897106259366,-0.894136586910709,0.434928422257061,0.624619961474117,0.457276337884224,-1.0014145481527,0,0,0,"Regular"
"387","Athletic Club",0.491654768682357,0.270100532107256,0.337024049945817,-0.0868276902203847,-0.412163082302043,-0.606038761235986,0.0451163635409157,0.338698061838347,0.173375468906863,-1.0014145481527,0,0,0,"Regular"
"388","Celta Vigo",0.491654768682357,-0.0631542855785789,0.990773712769063,-0.0868276902203847,-0.128185272571954,-0.389965391979944,0.123078775284145,0.109960542129731,-0.06684834330475,-1.0014145481527,0,0,0,"Regular"
"389","Málaga",0.491654768682357,0.103473123264338,-0.316725612877429,0.452620620195398,-0.412163082302043,-0.101867566305222,-0.227752077560386,0.0527761622025767,-0.110525400070498,-1.0014145481527,0,0,0,"Regular"
"390","Espanyol",0.491654768682357,-0.0631542855785789,0.337024049945817,0.27280451672347,-0.128185272571954,0.11420580295082,-0.149789665817157,-0.00440821772457732,-0.17604098521912,-1.0014145481527,0,0,0,"Regular"
"391","Rayo Vallecano",0.491654768682357,0.270100532107256,-1.62422493852392,0.99206893061118,-0.184980834517972,1.33862156206839,-0.851451371506218,-0.00440821772457732,-0.17604098521912,-1.0014145481527,0,0,0,"Regular"
"392","Real Sociedad",0.491654768682357,-0.396409103264414,1.31764854418069,0.0929884132515428,-0.298571958410008,0.11420580295082,-0.266733283432,-0.175961357506039,-0.350749212282111,-1.0014145481527,0,0,0,"Regular"
"393","Elche",0.491654768682357,-0.396409103264414,-0.316725612877429,0.99206893061118,-0.809732015924168,0.906474823556307,-1.04635740086429,-0.461883257141809,-0.634650081259472,-1.0014145481527,0,0,0,"Regular"
